"periode","lieu","paramètre","n_Jan","n_Feb","n_Mar","n_Apr","n_May","n_Jun","n_Jul","n_Aug","n_Sep","n_Oct","n_Nov","n_Dec","Annual.x","n_Annual","mois","valeur","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec","Annual.y","n","periode_lieu"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Jan",2.27777777777778,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Feb",6.44444444444445,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Mar",7.11111111111111,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Apr",8.38888888888889,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"May",15.6666666666667,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Jun",22.2222222222222,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Jul",23.9444444444444,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Aug",23.7777777777778,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Sep",23.1666666666667,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Oct",14.2777777777778,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Nov",7.33333333333333,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmax",1,1,1,1,1,1,1,1,1,1,1,1,13.1111111111111,1,"Dec",2.44444444444444,2.27777777777778,6.44444444444445,7.11111111111111,8.38888888888889,15.6666666666667,22.2222222222222,23.9444444444444,23.7777777777778,23.1666666666667,14.2777777777778,7.33333333333333,2.44444444444444,13.1111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmin",1,1,1,1,1,1,1,1,1,1,1,1,-2.11111111111111,1,"Jan",-10.0555555555556,-10.0555555555556,-10.5555555555556,-5.55555555555556,-5.22222222222222,-0.0555555555555563,4.5,7,5.44444444444444,4.66666666666667,-1.11111111111111,-4.83333333333333,-9.66666666666667,-2.11111111111111,1,"1970-1974.Lodgepole"
"1970-1974","Lodgepole","Tmin",1,1,1,1,1,1,1,1,1,1,1,1,-2.11111111111111,1,"Feb",-10.5555555555556,-10.0555555555556,-10.5555555555556,-5.55555555555556,-5.22222222222222,-0.0555555555555563,4.5,7,5.44444444444444,4.66666666666667,-1.11111111111111,-4.83333333333333,-9.66666666666667,-2.11111111111111,1,"1970-1974.Lodgepole"
